id,first_name,second_name,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
1,Shkodran,Mustafi,6,100.0,100.0,69140,0,0,-3,3,0,2,0.8,0.8,0,0.3,False,,2019-11-28T23:00:21.541666Z,52,69140.jpg,2.0,0.3,False,,a,1,3,8608,61,33508,189,0.1,1.2,Mustafi,170,0,1,0,4,0,0,0,0,0,0,0,35,32.2,1.2,54.0,8.8
2,Héctor,Bellerín,1,25.0,25.0,98745,0,0,-1,1,0,2,0.1,0.1,0,0.0,False,Hamstring injury - 25% chance of playing,2019-12-09T20:00:21.228098Z,54,98745.jpg,0.3,0.2,False,,d,1,3,35059,29,37612,295,0.0,0.2,Bellerín,262,0,0,0,6,0,0,0,2,0,0,0,26,30.8,22.7,15.0,6.9
3,Sead,Kolasinac,34,100.0,100.0,111457,0,0,-3,3,0,2,1.7,1.7,2,1.2,False,,2019-12-15T19:30:19.136195Z,52,111457.jpg,2.1,0.6,False,,a,1,3,54474,1575,118216,570,0.2,6.5,Kolasinac,1086,0,2,2,18,0,0,0,3,0,0,1,219,190.0,156.3,67.0,41.2
4,Ainsley,Maitland-Niles,34,100.0,100.0,154043,0,0,-4,4,1,2,3.0,3.0,1,2.5,False,,2019-09-22T18:00:10.824841Z,46,154043.jpg,2.6,2.7,False,,a,1,3,577146,3372,587413,2592,0.5,7.4,Maitland-Niles,1120,0,2,3,18,0,0,0,3,1,0,3,206,243.0,151.6,37.0,42.6
5,Sokratis,Papastathopoulos,52,100.0,100.0,39476,0,0,-1,1,1,2,3.7,3.7,2,3.2,False,,2019-12-26T17:00:15.332949Z,49,39476.jpg,2.9,1.5,False,,a,1,3,132523,3242,163099,2305,0.7,10.6,Sokratis,1606,2,0,3,25,0,0,0,5,0,0,5,286,431.6,31.8,106.0,57.1
6,Nacho,Monreal,10,0.0,0.0,38411,0,0,0,0,0,2,0.0,0.0,0,0.0,False,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,38411.jpg,3.3,0.3,False,,u,1,3,28090,5,88452,60,0.0,2.0,Monreal,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0
7,Laurent,Koscielny,0,0.0,0.0,51507,0,0,0,0,0,2,0.0,0.0,0,0.0,False,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,51507.jpg,0.0,0.1,False,,u,1,3,550,9,12597,15,0.0,0.0,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8,Konstantinos,Mavropanos,0,0.0,100.0,233963,0,0,-1,1,0,2,0.5,0.5,0,0.0,False,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,44,233963.jpg,0.0,0.0,False,,n,1,3,1056,25,4477,48,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9,Carl,Jenkinson,0,0.0,0.0,80254,0,0,0,0,0,2,0.0,0.0,0,0.0,False,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,80254.jpg,0.0,0.0,False,,u,1,3,383,3,2525,7,0.0,0.0,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10,Rob,Holding,1,100.0,100.0,156074,0,0,0,0,0,2,0.5,0.5,0,0.0,False,,2019-12-09T10:00:19.335279Z,45,156074.jpg,1.0,0.1,False,,a,1,3,10901,109,13348,114,0.0,0.2,Holding,76,0,0,0,2,0,0,0,0,0,0,0,9,8.4,0.4,2.0,1.1
11,Pierre-Emerick,Aubameyang,127,0.0,75.0,54694,0,0,-2,2,2,4,0.0,3.6,4,4.3,True,Suspended until 02 Feb,2020-01-08T14:00:18.333339Z,108,54694.jpg,5.8,16.0,False,,s,1,3,1718566,4489,2449486,209470,0.4,11.8,Aubameyang,1943,14,3,4,31,0,0,0,3,1,0,24,484,606.0,304.1,854.0,176.3
12,Alexandre,Lacazette,56,100.0,100.0,59966,0,0,-2,2,1,4,2.0,2.0,4,1.5,False,,2019-09-01T18:30:14.246208Z,93,59966.jpg,3.7,1.9,False,,a,1,3,227208,15530,352449,2974,0.2,6.0,Lacazette,1024,5,3,1,16,0,0,0,5,0,0,6,183,279.6,233.4,591.0,110.6
13,Edward,Nketiah,0,100.0,100.0,205533,0,0,-2,2,0,4,0.5,0.5,0,0.0,False,,2019-08-08T15:30:15.638344Z,43,205533.jpg,0.0,0.6,False,,a,1,3,49424,688,118511,685,0.0,0.0,Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14,Bernd,Leno,77,,,80201,0,0,0,0,1,1,4.3,4.3,2,3.8,False,,,50,80201.jpg,3.5,5.3,False,,a,1,3,394287,4863,435645,5385,0.8,15.4,Leno,1980,0,0,4,31,0,1,0,2,0,83,5,428,620.0,0.0,0.0,61.8
15,Mesut,Özil,32,100.0,100.0,37605,0,0,-3,3,0,3,2.3,2.3,2,1.8,False,,2019-12-20T10:30:11.550604Z,72,37605.jpg,2.7,1.2,False,,a,1,3,98231,3040,140610,5058,0.2,4.4,Özil,974,0,2,2,16,0,0,0,0,0,0,1,151,124.8,414.9,125.0,66.5
16,Henrikh,Mkhitaryan,4,0.0,0.0,57249,0,0,-2,2,0,3,0.0,0.0,0,0.0,False,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,57249.jpg,1.3,0.8,False,,n,1,3,22854,8,115533,112,0.0,0.6,Mkhitaryan,110,0,0,1,0,0,0,0,1,0,0,0,3,5.4,33.9,46.0,8.6
18,Granit,Xhaka,35,100.0,100.0,84450,0,0,-4,4,0,3,2.2,2.2,2,1.7,False,,2019-12-29T14:30:26.292159Z,51,84450.jpg,2.2,0.6,False,,a,1,3,35905,913,102037,392,0.3,6.9,Xhaka,1364,0,1,4,20,0,0,0,4,0,0,0,202,239.0,195.1,76.0,51.2
19,Lucas,Torreira,35,75.0,100.0,198849,0,0,-3,3,0,3,1.7,2.3,1,1.8,False,Muscle injury - 75% chance of playing,2020-01-11T15:00:20.592287Z,47,198849.jpg,1.8,1.3,False,,d,1,3,79979,785,145431,3136,0.4,7.4,Torreira,1118,1,0,3,17,0,0,0,3,0,0,0,189,213.0,149.3,183.0,54.7
20,Mohamed,Elneny,0,0.0,0.0,153256,0,0,-2,2,0,3,0.0,0.0,0,0.0,False,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,153256.jpg,0.0,0.7,False,,n,1,3,121714,227,110058,1105,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
