full_name,team_name,now_cost,pts_last_5,roi,roi_last_5,variance,variance_last_5,total_points,minutes,selected_by_percent,id
Shkodran Mustafi,Arsenal,52,1.0,0.11538461538461539,0.019230769230769232,0.7593293672255275,0.16000000000000006,6,170,0.3,1
Héctor Bellerín,Arsenal,54,0.0,0.018518518518518517,0.0,0.04338842975206614,0.0,1,262,0.2,2
Sead Kolasinac,Arsenal,52,7.0,0.6538461538461539,0.1346153846153846,3.4297520661157024,3.84,34,1086,0.6,3
Ainsley Maitland-Niles,Arsenal,46,14.0,0.7391304347826086,0.30434782608695654,9.15702479338843,6.960000000000001,34,1120,2.7,4
Sokratis Papastathopoulos,Arsenal,49,19.0,1.0612244897959184,0.3877551020408163,12.685950413223141,32.16,52,1606,1.5,5
Nacho Monreal,Arsenal,50,0.0,0.2,0.0,2.2479338842975216,0.0,10,270,0.3,6
Laurent Koscielny,Arsenal,50,0.0,0.0,0.0,0.0,0.0,0,0,0.1,7
Konstantinos Mavropanos,Arsenal,44,0.0,0.0,0.0,0.0,0.0,0,0,0.0,8
Carl Jenkinson,Arsenal,45,0.0,0.0,0.0,0.0,0.0,0,0,0.0,9
Rob Holding,Arsenal,45,0.0,0.022222222222222223,0.0,0.04338842975206614,0.0,1,76,0.1,10
Pierre-Emerick Aubameyang,Arsenal,108,24.0,1.1759259259259258,0.2222222222222222,13.630165289256205,7.76,127,1943,16.0,11
Alexandre Lacazette,Arsenal,93,9.0,0.6021505376344086,0.0967741935483871,9.702479338842975,1.36,56,1024,1.9,12
Edward Nketiah,Arsenal,43,0.0,0.0,0.0,0.0,0.0,0,0,0.6,13
Bernd Leno,Arsenal,50,21.0,1.54,0.42,5.431818181818182,8.56,77,1980,5.3,14
Mesut Özil,Arsenal,72,10.0,0.4444444444444444,0.1388888888888889,2.793388429752066,1.2,32,974,1.2,15
Henrikh Mkhitaryan,Arsenal,68,0.0,0.058823529411764705,0.0,0.2396694214876032,0.0,4,110,0.8,16
Granit Xhaka,Arsenal,51,10.0,0.6862745098039216,0.19607843137254902,1.6053719008264464,1.2,35,1364,0.6,18
Lucas Torreira,Arsenal,47,9.0,0.7446808510638298,0.19148936170212766,1.696280991735537,0.9600000000000002,35,1118,1.3,19
Mohamed Elneny,Arsenal,43,0.0,0.0,0.0,0.0,0.0,0,0,0.7,20
Matteo Guendouzi,Arsenal,44,3.0,0.9090909090909091,0.06818181818181818,2.2396694214876036,0.24000000000000005,40,1455,6.1,21
David Luiz Moreira Marinho,Arsenal,57,19.0,0.9473684210526315,0.3333333333333333,12.975206611570247,10.56,54,1710,4.9,106
Emiliano Martínez,Arsenal,43,0.0,0.0,0.0,0.0,0.0,0,0,0.2,427
Calum Chambers,Arsenal,44,12.0,0.9545454545454546,0.2727272727272727,7.355371900826447,10.239999999999998,42,1102,0.8,467
Daniel Ceballos Fernández,Arsenal,52,0.0,0.5192307692307693,0.0,5.357438016528928,0.0,27,659,3.1,469
Nicolas Pépé,Arsenal,91,12.0,0.6483516483516484,0.13186813186813187,10.12603305785124,11.04,59,1169,2.4,488
Reiss Nelson,Arsenal,53,12.0,0.33962264150943394,0.22641509433962265,1.5123966942148757,2.2399999999999998,18,437,0.1,489
Joseph Willock,Arsenal,48,2.0,0.4166666666666667,0.041666666666666664,0.6280991735537188,0.24000000000000005,20,544,0.2,490
Gabriel Teodoro Martinelli Silva,Arsenal,45,3.0,0.4666666666666667,0.06666666666666667,2.679752066115702,0.6399999999999999,21,386,1.5,504
Kieran Tierney,Arsenal,53,0.0,0.09433962264150944,0.0,0.26652892561983466,0.0,5,296,0.4,515
Bukayo Saka,Arsenal,45,6.0,0.4444444444444444,0.13333333333333333,1.5371900826446279,0.9600000000000002,20,695,0.5,541
Emile Smith Rowe,Arsenal,44,3.0,0.09090909090909091,0.06818181818181818,0.42148760330578533,1.4400000000000002,4,96,0.0,576
Tyreece John-Jules,Arsenal,45,0.0,0.0,0.0,0.0,0.0,0,0,0.0,585
Ahmed El Mohamady,Aston Villa,42,6.0,0.4523809523809524,0.14285714285714285,3.4814049586776865,6.16,19,701,1.0,22
James Chester,Aston Villa,43,0.0,0.0,0.0,0.0,0.0,0,0,0.1,23
Neil Taylor,Aston Villa,43,0.0,0.3953488372093023,0.0,2.9938016528925626,0.4,17,793,0.2,24
Kortney Hause,Aston Villa,44,9.0,0.20454545454545456,0.20454545454545456,1.787190082644628,5.36,9,540,0.1,25
Jonathan Kodjia,Aston Villa,54,2.0,0.09259259259259259,0.037037037037037035,0.1756198347107438,0.24000000000000005,5,111,0.1,26
Ørjan Nyland,Aston Villa,43,1.0,0.06976744186046512,0.023255813953488372,0.20867768595041322,0.16000000000000003,3,177,0.3,27
Conor Hourihane,Aston Villa,57,14.0,0.8771929824561403,0.24561403508771928,13.3801652892562,6.960000000000001,50,839,0.2,28
Jack Grealish,Aston Villa,65,29.0,1.4615384615384615,0.4461538461538462,15.035123966942148,20.560000000000002,95,1793,19.0,29
Anwar El Ghazi,Aston Villa,55,11.0,1.2181818181818183,0.2,6.770661157024793,4.5600000000000005,67,1313,1.0,30
John McGinn,Aston Villa,55,1.0,1.1090909090909091,0.01818181818181818,7.175619834710744,0.16000000000000006,61,1537,3.3,31
Andre Green,Aston Villa,49,0.0,0.0,0.0,0.0,0.0,0,0,0.0,32
Birkir Bjarnason,Aston Villa,45,0.0,0.0,0.0,0.0,0.0,0,0,0.0,33
Keinan Davis,Aston Villa,43,0.0,0.13953488372093023,0.0,0.1983471074380166,0.0,6,74,0.2,34
Henri Lansbury,Aston Villa,44,4.0,0.25,0.09090909090909091,0.4318181818181818,0.56,11,189,0.4,35
José Ignacio Peleteiro Romallo,Aston Villa,58,2.0,0.25862068965517243,0.034482758620689655,1.8533057851239667,0.24000000000000005,15,310,0.1,36
Tom Heaton,Aston Villa,44,16.0,1.3409090909090908,0.36363636363636365,5.944214876033057,12.159999999999998,59,1794,3.8,94
Daniel Drinkwater,Aston Villa,44,2.0,0.06818181818181818,0.045454545454545456,0.20867768595041325,0.6400000000000001,3,136,0.6,120
Matt Targett,Aston Villa,44,9.0,1.1136363636363635,0.20454545454545456,10.902892561983471,4.960000000000001,49,1148,1.0,309
Wesley Moraes,Aston Villa,56,11.0,1.1964285714285714,0.19642857142857142,9.861570247933885,4.16,67,1782,1.1,428
Jed Steer,Aston Villa,44,0.0,0.022727272727272728,0.0,0.04338842975206614,0.0,1,7,0.1,429
Tyrone Mings,Aston Villa,45,1.0,0.9777777777777777,0.022222222222222223,5.909090909090909,0.9600000000000002,44,1552,2.8,445
Ezri Konsa Ngoyo,Aston Villa,43,8.0,0.4883720930232558,0.18604651162790697,3.225206611570248,5.840000000000001,21,825,0.1,452
Bjorn Engels,Aston Villa,45,1.0,0.7555555555555555,0.022222222222222223,5.884297520661158,0.16000000000000006,34,1221,0.5,455
Frédéric Guilbert,Aston Villa,44,3.0,0.9772727272727273,0.06818181818181818,5.861570247933884,0.6399999999999999,43,1358,0.7,458
Mahmoud Ahmed Ibrahim Hassan,Aston Villa,52,11.0,0.9615384615384616,0.21153846153846154,6.198347107438016,2.16,50,1081,1.2,465
